Beverage_category,Beverage,Beverage_prep,size,kind,Calories,total_fat,trans_fat,saturated_fat,sodium,total_carbo,cholesterol,sugars,protein,vitA,vitC,calcium,iron,caffeine
Signature Espresso Drinks,White Chocolate Mocha (Without Whipped Cream),2% Milk,tall,coffee,310,9,6,0.1,20,200,46,44,11,15%,2%,35%,0%,75
Signature Espresso Drinks,White Chocolate Mocha (Without Whipped Cream),Soymilk,tall,coffee,280,8,3.5,0,0,170,42,39,10,10%,2%,35%,10%,75
Signature Espresso Drinks,White Chocolate Mocha (Without Whipped Cream),Grande Nonfat Milk,grande,coffee,350,6,4.5,0,10,240,61,58,15,20%,2%,45%,2%,150
Signature Espresso Drinks,White Chocolate Mocha (Without Whipped Cream),2% Milk,grande,coffee,400,11,7,0.2,25,250,61,58,15,15%,2%,45%,0%,150
Signature Espresso Drinks,White Chocolate Mocha (Without Whipped Cream),Soymilk,grande,coffee,370,10,5,0,0,220,56,51,13,10%,2%,45%,15%,150
Signature Espresso Drinks,White Chocolate Mocha (Without Whipped Cream),Venti Nonfat Milk,venti,coffee,450,7,6,0,10,310,78,74,19,25%,2%,60%,2%,150
Signature Espresso Drinks,White Chocolate Mocha (Without Whipped Cream),2% Milk,venti,coffee,510,15,9,0.2,35,330,77,74,19,20%,4%,60%,2%,150
Signature Espresso Drinks,White Chocolate Mocha (Without Whipped Cream),Soymilk,venti,coffee,460,13,6,0,5,290,70,64,16,15%,2%,60%,20%,150
Signature Espresso Drinks,Hot Chocolate (Without Whipped Cream),Short Nonfat Milk,short,coffee,130,1.5,1,0,5,70,26,23,7,10%,0%,20%,10%,10
Signature Espresso Drinks,Hot Chocolate (Without Whipped Cream),2% Milk,short,coffee,150,4.5,2.5,0.1,15,80,26,22,7,10%,0%,20%,10%,10
Signature Espresso Drinks,Hot Chocolate (Without Whipped Cream),Soymilk,short,coffee,130,3.5,1,0,0,60,23,18,6,6%,0%,20%,20%,10
Signature Espresso Drinks,Hot Chocolate (Without Whipped Cream),Tall Nonfat Milk,tall,coffee,190,2,1,0,5,110,37,32,11,15%,0%,30%,20%,20
Signature Espresso Drinks,Hot Chocolate (Without Whipped Cream),2% Milk,tall,coffee,230,7,3.5,0.2,20,120,37,32,10,15%,0%,30%,20%,20
Signature Espresso Drinks,Hot Chocolate (Without Whipped Cream),Soymilk,tall,coffee,200,6,1.5,0,0,95,32,25,9,10%,0%,30%,30%,20
Signature Espresso Drinks,Hot Chocolate (Without Whipped Cream),Grande Nonfat Milk,grande,coffee,240,2.5,1.5,0,5,140,48,41,14,20%,0%,40%,25%,25
Signature Espresso Drinks,Hot Chocolate (Without Whipped Cream),2% Milk,grande,coffee,290,9,5,0.2,25,160,47,41,14,20%,2%,40%,25%,25
Signature Espresso Drinks,Hot Chocolate (Without Whipped Cream),Soymilk,grande,coffee,250,7,2,0,0,125,41,32,12,15%,0%,40%,40%,25
Signature Espresso Drinks,Hot Chocolate (Without Whipped Cream),Venti Nonfat Milk,venti,coffee,320,3,2,0,10,180,63,55,18,25%,0%,50%,30%,30
